Issue Type;Epic;Summary;Description;Priority;Labels;Assignee role
Task;EPIC 2 — Landing page publique;Ajouter tracking clic CTA;Mesurer les conversions sur les boutons principaux;Normale;frontend,analytics;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Ajouter métadonnées SEO;Améliorer la visibilité et le partage de la page;Normale;frontend,seo;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Ajouter page mentions légales;Créer la page légale minimale;Critique;frontend,legal;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Ajouter page politique confidentialité;Créer la page RGPD minimale;Critique;frontend,legal,compliance;Développeur Full-Stack
;;;;;;
Epic;;EPIC 3 — Espace Chauffeur;Permettre l'inscription chauffeur le dépôt documentaire et l'accès contrôlé aux missions;Critique;mvp,frontend,backend;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.1 — Inscription chauffeur;En tant que chauffeur je peux créer mon compte;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Concevoir wireframe formulaire inscription;Définir l'organisation du formulaire d'entrée;Haute;ux;UI/UX Designer
Task;EPIC 3 — Espace Chauffeur;Concevoir maquette formulaire inscription;Créer la version UI finale du formulaire;Haute;ux,ui;UI/UX Designer
Task;EPIC 3 — Espace Chauffeur;Développer formulaire front;Coder le formulaire d'inscription chauffeur;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter validation nom et prénom;Contrôler les champs obligatoires;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter validation téléphone;Contrôler le format du numéro;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter champ ville avec auto-complétion;Permettre la sélection assistée de la ville;Haute;frontend,ux;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Créer endpoint API inscription;Créer la route backend d'enregistrement chauffeur;Critique;backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Sauvegarder chauffeur en base;Persister le profil et ses informations initiales;Critique;backend,database;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Définir statut EN_ATTENTE par défaut;Appliquer le statut initial au nouveau chauffeur;Critique;backend;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.2 — Authentification chauffeur;En tant que chauffeur je peux me connecter et accéder à mon espace;Critique;frontend,backend,security;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Développer écran connexion chauffeur;Créer l'interface de login;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Créer endpoint login chauffeur;Créer la route de connexion sécurisée;Critique;backend,security;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Générer token de session;Mettre en place l'authentification sécurisée;Critique;backend,security;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Protéger routes chauffeur;Limiter l'accès aux pages privées;Critique;frontend,backend,security;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter déconnexion;Permettre la fermeture de session;Normale;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Prévoir reset mot de passe;Créer le flux minimal de récupération;Normale;frontend,backend;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.3 — Dépôt de documents;En tant que chauffeur je peux déposer mes pièces justificatives;Critique;frontend,backend,compliance;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Concevoir bloc upload documents;Définir l'expérience d'ajout de documents;Haute;ux,ui;UI/UX Designer
Task;EPIC 3 — Espace Chauffeur;Développer composants upload;Coder les champs d'envoi de fichiers;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload permis C CE;Traiter le dépôt du permis;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload FIMO FCO;Traiter le dépôt FIMO ou FCO;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload carte chrono;Traiter le dépôt de la carte conducteur;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload Kbis;Traiter le dépôt du Kbis;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload attestation URSSAF;Traiter le dépôt de l'attestation de vigilance;Critique;frontend,backend,compliance;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Gérer upload RC Pro;Traiter le dépôt de l'assurance RC Pro;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter date d'expiration;Associer une date à chaque document;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Sauvegarder URL fichier en base;Enregistrer les références de stockage;Critique;backend,database;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Contrôler taille et type fichier;Sécuriser les uploads côté front et back;Critique;backend,security;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.4 — Tableau de bord chauffeur;En tant que chauffeur je peux voir mon statut et mes missions;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Concevoir wireframe dashboard chauffeur;Définir la hiérarchie de l'écran principal chauffeur;Normale;ux;UI/UX Designer
Task;EPIC 3 — Espace Chauffeur;Développer bannière de statut;Afficher en attente validé suspendu ou radié;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher documents manquants;Lister les pièces à compléter;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher documents validés rejetés;Montrer le statut des documents soumis;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher missions disponibles;Présenter la liste des missions compatibles;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter message profil en attente;Bloquer l'accès tant que validation admin absente;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter état vide sans mission;Créer un affichage clair si aucune mission;Normale;frontend,ux;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.5 — Consultation mission;En tant que chauffeur je peux consulter et accepter une mission;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Développer liste missions;Créer la vue de liste;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Développer détail mission;Créer la vue détaillée;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher lieu date horaires tarif;Afficher les données principales de la mission;Critique;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher type camion requis;Montrer la qualification attendue;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter bouton accepter mission;Permettre l'acceptation de la mission;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter confirmation d'acceptation;Sécuriser l'action utilisateur;Normale;frontend;Développeur Full-Stack
Story;EPIC 3 — Espace Chauffeur;STORY 3.6 — Discipline chauffeur;En tant que plateforme je gère les annulations tardives automatiquement;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Ajouter bouton désistement;Permettre l'annulation dans le cadre autorisé;Haute;frontend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Bloquer désistement à H-24;Interdire l'annulation tardive depuis l'interface;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Créer règle annulation tardive;Détecter les annulations sous 24 heures;Critique;backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Suspendre compte 7 jours automatiquement;Appliquer la sanction temporaire;Critique;backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Incrémenter compteur d'annulations;Suivre le nombre d'incidents par chauffeur;Critique;backend,database;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Radier au troisième désistement tardif;Appliquer la radiation automatique;Critique;backend;Développeur Full-Stack
Task;EPIC 3 — Espace Chauffeur;Afficher statut suspendu ou radié au chauffeur;Informer clairement l'utilisateur de sa situation;Haute;frontend;Développeur Full-Stack
;;;;;;
Epic;;EPIC 4 — Espace Entreprise;Permettre aux entreprises de créer des missions et gérer leurs relations chauffeurs;Critique;mvp,frontend,backend;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.1 — Compte entreprise;En tant qu'entreprise je peux créer et utiliser mon espace;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer inscription entreprise;Créer le formulaire entreprise;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer connexion entreprise;Créer le login entreprise;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Créer rôle ENTREPRISE;Ajouter le rôle et ses permissions;Critique;backend,security;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Protéger routes entreprise;Limiter l'accès aux utilisateurs autorisés;Critique;frontend,backend,security;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter page profil entreprise;Créer la vue de profil société;Normale;frontend;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.2 — Création de mission;En tant qu'entreprise je peux publier une mission;Critique;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Concevoir wireframe création mission;Définir le parcours de saisie;Normale;ux;UI/UX Designer
Task;EPIC 4 — Espace Entreprise;Concevoir maquette création mission;Créer la maquette de l'écran;Normale;ux,ui;UI/UX Designer
Task;EPIC 4 — Espace Entreprise;Développer formulaire mission;Coder le formulaire de mission;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ type camion;Créer le champ de qualification véhicule;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ date;Créer la sélection de date;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ horaires;Créer les champs d'horaire;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ lieu;Créer la saisie du lieu;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ description courte;Créer la description opérationnelle;Haute;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter champ taux horaire;Créer la saisie du tarif;Critique;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Créer endpoint création mission;Créer l'API de création mission;Critique;backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Enregistrer mission en base;Persister la mission et son statut;Critique;backend,database;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.3 — Tarification plancher;En tant que plateforme je contrôle les prix minimums;Critique;backend,billing;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Définir règles PL et SPL;Fixer les seuils minimaux métier;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter validation front prix minimum;Empêcher une saisie trop basse côté interface;Haute;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter validation back prix minimum;Empêcher une saisie trop basse côté API;Critique;backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Retourner message erreur explicite;Informer clairement l'utilisateur;Normale;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Couvrir la règle par tests;Assurer la non régression;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.4 — Favoris;En tant qu'entreprise je peux sauvegarder des chauffeurs favoris;Haute;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter bouton ajouter aux favoris;Permettre la mémorisation d'un chauffeur;Haute;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Créer table favoris;Modéliser la relation entreprise chauffeur;Critique;backend,database;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer liste favoris entreprise;Créer la page de gestion des favoris;Haute;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter suppression favori;Permettre le retrait d'un favori;Normale;frontend,backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter filtre favoris;Filtrer la liste sur l'espace entreprise;Normale;frontend;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.5 — Priorité favoris;En tant qu'entreprise je peux réserver mes missions à mes favoris au départ;Haute;backend,frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter case priorité favoris 2h;Créer l'option au formulaire de mission;Haute;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Enregistrer fenêtre de priorité;Sauvegarder la durée de priorité;Critique;backend,database;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Restreindre diffusion aux favoris pendant 2h;Appliquer la règle de diffusion initiale;Critique;backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ouvrir mission au reste des profils qualifiés après délai;Basculer automatiquement en diffusion générale;Critique;backend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter test métier de bascule;Valider le bon passage de priorité;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 4 — Espace Entreprise;STORY 4.6 — Historique et factures;En tant qu'entreprise je peux suivre mes missions et récupérer mes factures;Haute;frontend,billing;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer liste missions passées;Créer l'historique des missions terminées;Normale;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer liste missions en cours;Créer la vue active des missions;Normale;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Développer vue facturation;Créer l'écran de facturation;Haute;frontend;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Afficher factures hebdomadaires;Lister les factures disponibles;Haute;frontend,backend,billing;Développeur Full-Stack
Task;EPIC 4 — Espace Entreprise;Ajouter téléchargement PDF;Permettre l'export de facture;Haute;frontend,backend,billing;Développeur Full-Stack
;;;;;;
Epic;;EPIC 5 — Matching et discipline;Gérer automatiquement la compatibilité missions chauffeurs et les règles de sanction;Critique;mvp,backend;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.1 — Modèle de qualification chauffeur;En tant que plateforme je connais les qualifications valides du chauffeur;Critique;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer champs permis;Ajouter les champs C CE et autres si nécessaire;Critique;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer champs options ADR et Frigo;Ajouter les qualifications complémentaires;Haute;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer logique qualification validée;Déduire l'état exploitable des documents;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Bloquer qualification si document invalide;Empêcher l'usage d'un document expiré ou rejeté;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Prévoir extensibilité future;Concevoir des règles ajoutables;Normale;backend,architecture;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.2 — Calcul de distance;En tant que plateforme je calcule la distance entre le chauffeur et la mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Géocoder ville chauffeur;Obtenir des coordonnées pour la localisation chauffeur;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Géocoder lieu mission;Obtenir des coordonnées pour le lieu de mission;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Calculer distance km;Mesurer la distance entre les deux points;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Définir rayon max configurable;Permettre l'ajustement métier de la distance acceptable;Haute;backend,config;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Stocker distance calculée si nécessaire;Optimiser l'affichage ou la recherche;Normale;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Tester cas hors zone;Vérifier le rejet des missions trop éloignées;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.3 — Algorithme de matching;En tant que chauffeur je ne vois que les missions compatibles;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils EN_ATTENTE;Ne pas afficher les missions aux profils non validés;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils SUSPENDU;Bloquer temporairement l'accès aux missions;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils RADIE;Bloquer définitivement l'accès aux missions;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier permis compatibles;Comparer permis chauffeur et exigences mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier documents valides;Contrôler la conformité des pièces;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier distance compatible;Appliquer le filtre géographique;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier fenêtre priorité favoris;Filtrer selon la priorité de diffusion;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Retourner liste missions filtrées;Servir les résultats compatibles au front;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Écrire tests unitaires matching;Sécuriser le comportement métier;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.4 — Cycle mission;En tant que plateforme je trace les changements d'état d'une mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Passer mission de OUVERTE à POURVUE;Changer l'état après acceptation;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Associer chauffeur à mission;Enregistrer l'affectation;Critique;backend,database;Développeur Full-Stack
